name,x,y,z,classification
Point #0,86967.51450735093,439138.6690815353,0.566891059875,change
Point #1,86952.96750741957,439130.2160814667,0.495891079903,nochange
Point #2,86949.25250774383,439149.8520811463,0.564891085625,nochange
Point #3,86961.09450727463,439158.7900808717,0.398891077042,nochange
Point #4,86951.97050720215,439159.6190813447,0.318891153336,nochange
Point #5,86971.41650730131,439170.95208152774,0.58189116478,nochange
Point #6,86980.16250663757,439158.4580820465,0.804891095161,nochange
Point #7,86966.44950729371,439140.6380814576,0.271891102791,nochange
Point #8,86973.94750743866,439118.11508163455,0.367891058922,change
Point #9,86981.59350639343,439131.0020817184,0.19189105987500002,nochange
Point #11,86943.06195312497,439156.5497396851,1.076976046562,added
