name,x,y,z,classification
Point #0,87199.90814453122,436655.6417578125,3.5895337295529997,nochange
Point #1,87207.93426757811,436665.3337744141,3.645533723831,nochange
Point #2,87216.62225585937,436671.0447729493,3.811533732414,change
Point #3,87222.10711914062,436655.2197607423,3.511533780098,removed
Point #4,87218.13519531251,436654.52176269534,3.252533717155,removed
Point #5,87219.52923828125,436655.12277587893,3.5445337724690003,change
Point #6,87223.47015624997,436656.0167578125,3.319533748627,removed
Point #7,87225.84930664062,436656.44977172854,3.3995337915420003,removed
Point #8,87225.58319335937,436656.78076538094,3.138533754349,removed
Point #9,87228.80731445311,436655.8877600098,3.931533737183,change
Point #10,87216.7641015625,436680.4607580567,3.4285337162019998,nochange
Point #12,87206.27313476561,436679.6667517089,4.270533723831,nochange
Point #13,87204.93011718747,436678.53375610354,3.7745337915420003,nochange
Point #16,87241.34515624997,436670.5367468262,3.729533715248,nochange
Point #17,87247.5062890625,436673.5177648927,3.467533750534,nochange
Point #18,87245.50311523436,436666.46576293954,4.580533666611,change
Point #20,87234.24408203122,436659.6337622071,3.045533699989,nochange
Point #21,87235.49530273436,436657.88876708987,2.997533721924,nochange
Point #22,87228.3402734375,436653.73477539065,4.745533628464,removed
Point #23,87242.00409179686,436646.440769043,2.22153375864,nochange
Point #25,87252.0531640625,436688.7137487793,3.57853369236,nochange
Point #26,87258.263125,436706.8837622071,3.631533784866,nochange
Point #27,87249.79022460937,436686.0517614745,3.8785337638849997,removed
Point #28,87186.62811523436,436683.17575439456,4.875533742905,change
Point #29,87242.61322265626,436699.04574951174,3.4845337104800005,change
Point #30,87252.50726562497,436645.02176269534,2.405533744097,nochange
Point #31,87238.28827148436,436655.55875,2.844533724785,nochange
Point #32,87257.90008789062,436634.3430517577,1.714390022755,nochange
