name,x,y,z,classification
Point #0,87186.48480468747,436683.20755371096,3.584141893387,change
Point #2,87194.5277734375,436679.900546875,4.700141830444,change
Point #3,87193.41083007811,436679.6695593262,3.3151419591900004,removed
Point #4,87197.13763671875,436684.08255371096,6.522141857147,nochange
Point #6,87209.09466796872,436676.20254882815,3.511141939163,removed
Point #7,87206.44867187501,436679.38653930667,3.6731418800349998,nochange
Point #8,87205.01874023436,436678.3165319825,3.2891419363020002,nochange
Point #9,87194.37762695311,436671.59054931643,3.801141901016,change
Point #10,87180.99261718747,436671.0005529786,3.168141884804,change
Point #11,87178.98163085937,436672.508548584,2.777141911983,removed
Point #12,87176.68280273436,436673.43454345706,2.946141881943,removed
Point #16,87174.99261718747,436674.6155432129,3.1821419429780002,removed
Point #17,87171.46063476561,436680.7925451661,5.239141864777,nochange
Point #18,87167.98260742187,436682.52853759774,3.149141950607,nochange
Point #19,87199.74774414062,436655.81955322274,3.896141929626,nochange
Point #22,87188.76166015626,436642.88754638674,4.0011419487,nochange
Point #23,87171.41766601561,436677.1485327149,4.06614200592,removed
Point #25,87195.64569335937,436690.258548584,3.481141967773,removed
Point #26,87201.03778320311,436684.81555542,6.9171418380739995,nochange
Point #28,87230.47918945311,436685.3568762207,3.625780506134,nochange
Point #30,87168.24725585937,436673.136875,3.4527805280690003,added
Point #31,87175.49920898436,436678.9598730469,4.954780502319,added
Point #32,87194.13226562497,436670.9398840332,3.460780544281,change
