name,x,y,z,classification
Point #0,87683.80682617187,436610.92448791524,3.8696887922289998,removed
Point #2,87688.50897460937,436614.879489746,4.428688688278,nochange
Point #4,87688.56488281251,436623.90149292,3.993688745499,removed
Point #5,87688.09881835937,436625.1604956055,4.003688735962,removed
Point #6,87688.77386718747,436638.67447265633,5.09268872261,change
Point #8,87688.25287109376,436634.5674780274,5.206688804626,removed
Point #9,87687.96283203122,436642.2414892577,4.468688650131,removed
Point #10,87679.4418359375,436648.6754797364,5.33968870163,removed
Point #11,87688.35394531251,436649.16247924813,5.721688671112,nochange
Point #12,87687.12982421875,436649.1184729004,4.210688753128,removed
Point #13,87670.70257812497,436578.06692871096,4.059852285385,added
Point #14,87674.71356445311,436614.0109289552,4.4448522758480005,added
