name,x,y,z,classification
Point #0,87718.27215820311,435707.05520996096,5.139396591187,nochange
Point #1,87717.78119140622,435711.8581884766,5.002396507263,nochange
Point #2,87717.85418945311,435714.7942236327,4.812396688461,nochange
Point #3,87709.90228515626,435710.5821875,5.017396612167,removed
Point #4,87710.1683984375,435708.6202124024,5.044396562576,change
Point #5,87707.36029296872,435708.9662207032,8.34139673233,removed
Point #7,87677.6303125,435712.86117919924,7.1453966331480006,nochange
Point #9,87749.78827148436,435740.0871923829,4.910396499634,nochange
Point #10,87720.73431640622,435681.9131811524,4.792396707535,nochange
Point #11,87721.4672265625,435668.10721191415,5.969396514893,nochange
Point #13,87697.94525390622,435736.1702001952,7.076396389008,nochange
Point #15,87692.62323242187,435677.0644873047,3.892550272942,added
Point #16,87692.22625976561,435681.14548095706,3.686550302505,added
