name,x,y,z,classification
Point #0,85316.95087402343,436027.91698608396,6.703369178772,removed
Point #1,85309.3938671875,436019.19999084476,6.716369190216,removed
Point #3,85337.86884277343,436040.39898071287,5.787369050980001,change
Point #4,85305.08698242184,436041.34497985843,4.440368928909,change
Point #5,85318.170234375,436022.3266540527,6.047110595703,added
Point #6,85311.72516601562,436012.68164978025,5.113110818863,added
Point #7,85321.45014160156,436027.4516540527,4.428110637665,added
Point #9,85290.3001171875,436035.22265014646,6.665110626221,added
Point #10,85313.73517578124,436045.2396484375,5.216110744476,added
Point #11,85337.07514160156,436040.8266540527,5.128110685349,change
