name,x,y,z,classification
Point #0,85995.06842041014,436631.7380480957,4.755575037003,removed
Point #1,85997.31243896483,436645.3050341797,6.431575036049,change
Point #2,86002.33044433594,436646.21802856453,4.5755750894550005,removed
Point #3,86003.03546142577,436646.3860278321,6.490575051308,removed
Point #4,86011.64642333983,436638.2370410157,5.316575026512,nochange
Point #5,85997.83044433594,436645.2390246582,4.334575033188,removed
Point #6,86023.91442871095,436630.26002075203,6.2115750074389995,removed
Point #7,86019.75341796875,436622.06602050783,6.413575029373,removed
Point #8,86013.50042724611,436616.5670275879,9.545574998855999,removed
Point #9,86013.77197265626,436620.46439697273,3.989592170715,added
