name,x,y,z,classification
Point #0,87216.67309570311,436671.50974609377,9.008452987671,change
Point #1,87223.70812988281,436673.64274169924,4.281452989578,removed
Point #2,87227.38708496092,436675.15473510727,4.210453009605,removed
Point #3,87230.77905273436,436677.0077319336,4.102452969551,removed
Point #4,87234.6251220703,436678.86674072273,4.072452998161,removed
Point #5,87216.54504394531,436680.2687487793,5.844453027844,nochange
Point #6,87209.1201171875,436676.0757556153,5.498453019558999,removed
Point #7,87205.92004394531,436678.9767565919,6.9464530706410015,change
Point #8,87204.5771484375,436678.5787463379,7.124453043938,nochange
Point #9,87228.41003417967,436655.7087512207,5.385453021526001,nochange
Point #10,87222.05407714845,436655.22974731453,7.7794531345369995,removed
Point #11,87228.12915039062,436653.6487536621,4.480452990532,removed
Point #12,87225.80615234374,436656.4067492676,8.155453062057001,removed
Point #13,87219.48803710938,436655.0647387696,6.241453027725,nochange
Point #15,87238.46813964845,436661.6867480469,3.5484529495240005,nochange
Point #16,87236.34704589842,436681.0667529297,5.3364530265329995,nochange
Point #17,87233.86804199219,436686.6437487793,4.493453001976,nochange
Point #18,87234.44104003905,436687.8747363282,3.995452976227,nochange
Point #19,87193.453125,436679.93775512703,6.202452993393,removed
Point #20,87194.4610595703,436671.805736084,6.272453045844999,nochange
Point #21,87186.63806152342,436683.3937487793,6.166453039646,change
Point #22,87204.30615234374,436681.8267321778,3.4164529800419996,nochange
Point #23,87251.99011230467,436688.82474853523,11.042452907562001,nochange
Point #24,87240.96203613281,436670.5697436524,5.931453025341001,nochange
Point #25,87204.27807617188,436647.0027270508,5.817453017831,nochange
Point #26,87194.51110839842,436679.8587451172,5.027453041077,nochange
Point #27,87250.77514648436,436703.055736084,4.003452992439,nochange
Point #28,87240.70910644531,436702.4447436524,3.833453035355,removed
Point #29,87188.96411132812,436643.80775024416,5.653453020751,nochange
Point #30,87186.24914550781,436685.10673095705,4.549452996254,removed
Point #31,87175.85205078125,436677.4607348633,3.94345304966,change
Point #32,87171.45007324217,436680.715739746,5.1574530065060005,nochange
