name,x,y,z,classification
Point #2,87194.57580566406,436608.2101550292,6.2274837851520015,nochange
Point #3,87195.30981445311,436609.93217041023,6.958483791351,nochange
Point #4,87198.7188720703,436611.26914550783,6.163483774662,nochange
Point #5,87179.85583496092,436590.8721728516,5.451483792067,nochange
Point #6,87156.35583496092,436581.2851672364,8.041483736038,nochange
Point #7,87138.2618408203,436563.9531665039,5.6894837901,nochange
Point #8,87188.5908203125,436642.8361621094,7.294483757019,nochange
Point #9,87205.25183105469,436632.5171618653,4.670483803749,nochange
Point #10,87150.40588378905,436563.9481616211,4.177483773232,color_change
Point #11,87199.02587890626,436655.72614624025,8.791483736038,nochange
Point #12,87204.53662109374,436646.7817492676,6.000227546692,nochange
Point #14,87216.68664550781,436671.08973266603,8.961227512359999,change
Point #16,87120.37365722656,436546.8907275392,5.302227562666,nochange
Point #17,87171.22863769531,436579.6897387696,3.073227500916,removed
