name,x,y,z,classification
Point #0,87194.52307128905,436608.42170288094,6.355364477634,nochange
Point #1,87198.7801513672,436611.36469604494,5.065364456177,nochange
Point #2,87195.32214355469,436609.8776965332,7.51236448288,nochange
Point #3,87178.75708007811,436617.50071289047,4.496364450455,nochange
Point #4,87179.00207519531,436613.0897021485,6.017364478111,nochange
Point #5,87185.15112304686,436638.75770141603,4.98136446476,nochange
Point #6,87205.27807617188,436632.4766955567,7.037364459038,nochange
Point #7,87188.66918945311,436642.75168945314,5.69536446631,nochange
Point #8,87189.02807617188,436643.68970825203,6.5203644394869995,nochange
Point #9,87204.5001220703,436638.7287097168,6.20136449337,nochange
Point #11,87179.90417480467,436590.91770507797,7.8823643684389975,nochange
Point #13,87216.67211914062,436671.16068603523,8.511364555359,change
Point #14,87199.84008789062,436655.6125292969,6.3859861254690005,nochange
Point #15,87179.5751953125,436619.91953613283,3.949986195564,removed
