name,x,y,z,classification
Point #1,87205.77673339842,436678.9643359375,7.265671586989999,nochange
Point #2,87199.8436279297,436655.64533569344,8.734671688079999,nochange
Point #4,87194.96667480467,436679.5433459473,5.080671644211,nochange
Point #6,87205.3056640625,436633.1693225098,4.376671648026,nochange
Point #7,87205.25866699219,436632.63334228523,5.851671642065001,nochange
Point #8,87188.46374511719,436644.12632324226,6.337671613693,nochange
Point #9,87188.60864257811,436642.864329834,7.625671720505,nochange
Point #10,87185.11669921875,436638.9003405761,7.369671678543,nochange
Point #11,87186.90771484374,436683.1083178711,5.980671650171,change
Point #12,87230.61962890626,436685.5673327637,5.815671643615,nochange
Point #13,87233.73266601561,436686.38532592775,5.724671645463,nochange
Point #14,87252.00866699219,436688.6973376465,5.279671645164,nochange
Point #15,87241.37670898436,436692.3273425293,5.226671642065,nochange
Point #16,87209.16528320311,436676.1212878418,6.103474414349001,removed
Point #18,87241.05236816406,436670.7622790528,5.830474427342,nochange
Point #19,87228.37731933594,436655.6762805177,5.570474427566,nochange
Point #20,87228.34631347656,436653.75629760727,4.315474486351,removed
Point #23,87218.90429687501,436654.81428100594,4.724474406242,nochange
